Субъект №;Пол;Образование;Доход месяц 1;Доход месяц 2;Доход месяц 3;Доход месяц 4;Доход месяц 5;Доход месяц 6
128;Женский;Учёная степень;40000;50000;20000;50000;40000;20000
129;Мужской;Среднее;30000;40000;20000;60000;40000;50000
130;Мужской;Высшее;30000;40000;10000;50000;40000;50000
131;Женский;Высшее;20000;;10000;60000;;20000
132;Женский;Среднее;30000;50000;10000;60000;40000;30000
133;Мужской;Среднее;30000;50000;10000;50000;40000;30000
134;Женский;Среднее;20000;50000;20000;50000;30000;20000
135;Женский;Среднее;30000;60000;10000;70000;30000;40000
136;Мужской;Высшее;40000;50000;10000;70000;30000;50000
137;Мужской;Среднее;30000;50000;10000;50000;40000;50000
138;Мужской;Среднее;30000;60000;20000;60000;40000;30000
139;Мужской;Среднее;20000;40000;;40000;30000;40000
140;Женский;Учёная степень;40000;60000;20000;70000;40000;20000
141;Мужской;Среднее;20000;60000;20000;60000;30000;30000
142;Женский;Среднее;20000;50000;10000;50000;40000;60000
143;Мужской;Высшее;20000;40000;20000;50000;40000;20000
144;Мужской;Высшее;;50000;20000;50000;40000;30000
145;Женский;Среднее;30000;40000;10000;40000;40000;30000
146;Мужской;Высшее;20000;60000;;50000;40000;50000
147;Женский;Высшее;20000;40000;10000;40000;40000;50000
148;Женский;Среднее;30000;50000;10000;70000;30000;60000
149;Мужской;Среднее;40000;60000;10000;60000;40000;20000
150;Женский;Среднее;20000;40000;10000;40000;40000;40000
151;Женский;Среднее;20000;60000;10000;40000;40000;30000
152;Мужской;Высшее;20000;40000;20000;60000;30000;40000
153;Женский;Высшее;;50000;10000;50000;40000;30000
154;Женский;Высшее;30000;50000;10000;40000;30000;30000
155;Женский;Среднее;40000;60000;20000;60000;;60000
156;Мужской;Среднее;40000;40000;20000;50000;30000;40000
157;Мужской;Учёная степень;30000;50000;10000;50000;30000;40000
158;Женский;Среднее;30000;60000;10000;50000;40000;20000
159;Женский;Среднее;30000;;10000;60000;40000;30000
160;Мужской;Высшее;30000;40000;20000;70000;;40000
